iri,term_localName,label,definition,comments,examples,organized_in,issued,status,replaces,rdf_type,term_iri,flags
http://rs.rebipp.org.br/ppi/terms/version/flowerPlaceOfContact-2021-12-03,flowerPlaceOfContact,Flower Place Of Contact,A list (concatenated and separated) of flower parts touched by the animal during the interaction,"Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary
","`anther`, `stigma`, `pistil`",http://rs.rebipp.org.br/ppi/terms/Interaction,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/flowerPlaceOfContact,simple
http://rs.rebipp.org.br/ppi/terms/version/resourceCollected-2021-12-03,resourceCollected,Resource Collected,A list (concatenated and separated) of floral resources used or removed from the visited flower(s) during the interaction,Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary,"`pollen`, `pollen | nectar | oil`, `ovules`",http://rs.rebipp.org.br/ppi/terms/Interaction,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/resourceCollected,simple
http://rs.rebipp.org.br/ppi/terms/version/visitedFlowersQuantity-2021-12-03,visitedFlowersQuantity,Visited Flowers Quantity,The total number of flowers visited during the interaction,,"`12`, `20`",http://rs.rebipp.org.br/ppi/terms/Interaction,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/visitedFlowersQuantity,simple
http://rs.rebipp.org.br/ppi/terms/version/ReproductiveSuccess-2021-12-03,ReproductiveSuccess,Reproductive Success,A reproductive success measurement as a result or a effect of the interaction(s) on the subject or object of the interaction,"An outcome is related to one or more interactions, but limited to the same subject or object of the related interactions (e.g. a dwc:Occurrence or a dwc:Taxon)",The mass of a fruit exposed to multiple visitors was 100 grams,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
http://rs.rebipp.org.br/ppi/terms/version/numberOfRemovedPollenGrains-2021-12-03,numberOfRemovedPollenGrains,Number Of Removed Pollen Grains,The total number of pollen grains removed from the anther(s) of the visited flower(s),The pollen grains may have been removed by multiple floral visitors. The number should include pollen grains from all anthers of the flower(s),"`156`, `350`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/numberOfRemovedPollenGrains,simple
http://rs.rebipp.org.br/ppi/terms/version/numberOfConspecificPollenGrains-2021-12-03,numberOfConspecificPollenGrains,Number Of Conspecific Pollen Grains,The total number of conspecific pollen grains deposited on the stigma(s) of the visited flower(s),The pollen grains may have been deposited at the end of the flower(s) anthesis by multiple floral visitors ,"`356`, `500`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/numberOfConspecificPollenGrains,simple
http://rs.rebipp.org.br/ppi/terms/version/numberOfHeterospecificPollenGrains-2021-12-03,numberOfHeterospecificPollenGrains,Number Of Heterospecific Pollen Grains,The total number of heterospecific pollen grains deposited on a the stigma(s) of the visited flower(s),The pollen grains may have been deposited at the end of the flower(s) anthesis by multiple floral visitors ,"`356`, `500`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/numberOfHeterospecificPollenGrains,simple
http://rs.rebipp.org.br/ppi/terms/version/numberOfFertilizedOvules-2021-12-03,numberOfFertilizedOvules,Number Of Fertilized Ovules,The total number of fertilized ovules in the visited flower(s),The ovules may have been fertilized as a result of multiple floral visits,"`3`, `5`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/numberOfFertilizedOvules,simple
http://rs.rebipp.org.br/ppi/terms/version/numberOfPollenTubes-2021-12-03,numberOfPollenTubes,Number Of Pollen Tubes,The total number of pollen tubes growing in the style(s) of the visited flower(s),The flower(s) may have been exposed by multiple floral visitors. The number should include pollen tubes growing from all styles of the flower(s),"`1`, `5`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/numberOfPollenTubes,simple
http://rs.rebipp.org.br/ppi/terms/version/seedMassInMiligrams-2021-12-03,seedMassInMiligrams,Seed Mass In Miligrams,The total mass in miligrams of the seeds of mature fruit(s),"If reporting this value, the `seedSet` should also be provided.","`50`, `231.6`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/seedMassInMiligrams,simple
http://rs.rebipp.org.br/ppi/terms/version/seedSet-2021-12-03,seedSet,Seed Set,The total number of seeds of mature fruit(s),"If reporting this value, the `fruitSet` should also be provided.","`20`, `55`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/seedSet,simple
http://rs.rebipp.org.br/ppi/terms/version/fruitMassInGrams-2021-12-03,fruitMassInGrams,Fruit Mass In Grams,The total mass in grams of the fruit(s),"If reporting this value, the `fruitSet` should also be provided.","`500`, `1256.55`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/fruitMassInGrams,simple
http://rs.rebipp.org.br/ppi/terms/version/fruitSet-2021-12-03,fruitSet,Fruit Set,The total number of mature fruits of the exposed flower(s),"If reporting this value, the `numberOfExposedFlowers` should also be provided","`5`, `12`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/fruitSet,simple
http://rs.rebipp.org.br/ppi/terms/version/numberOfExposedFlowers-2021-12-03,numberOfExposedFlowers,Number Of Exposed Flowers,The total number of flowers exposed to floral visitors,The exposed flowers are the flowers monitored to measure the reproductive success of the plant(s). For the total number of flowers available to floral visitors (including flowers unmonitored) use `flowerAbundance`.,"`4`, `11`",http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/numberOfExposedFlowers,simple
http://rs.rebipp.org.br/ppi/terms/version/NectarDynamics-2021-12-03,NectarDynamics,Nectar Dynamics,The measurements of nectar dynamics,A nectar dynamics measurement is related to the plant occurrence(s) ,The accumulated nectar in the monitored flowers,,2021-12-03,recommended,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple
http://rs.rebipp.org.br/ppi/terms/version/accumlatedNectarVolumeInMicroliters-2021-12-03,accumlatedNectarVolumeInMicroliters,Accumlated Nectar Volume In Microliters,The total volume in microliters of nectar accumulated by the flower(s),"The total volume of nectar should be provided for flowers which were not exposed to floral visitors during all their longevity. If reporting this value, the `accumulatedNectarHours` should also be provided.","`5`, `10`, `5.5`",http://rs.rebipp.org.br/ppi/terms/NectarDynamics,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/accumlatedNectarVolumeInMicroliters,simple
http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarConcentration-2021-12-03,accumulatedNectarConcentration,Accumulated Nectar Concentration,"The concentration of the nectar, in percentage of sugar, accumulated by the flower(s)","The accumulated nectar concentration should be provided for flowers which were not exposed to floral visitors during all their longevity. If reporting this value, the `accumulatedNectarHours` should also be provided","`10.2`, `25`",http://rs.rebipp.org.br/ppi/terms/NectarDynamics,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/accumulatedNectarConcentration,simple
http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarHours-2021-12-03,accumulatedNectarHours,Accumulated Nectar Hours,The time in hours in which the nectar was let to accumulated in the flower(s),,"`0.5`, `2`, `48`",http://rs.rebipp.org.br/ppi/terms/NectarDynamics,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/accumulatedNectarHours,simple
http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarFlowers-2021-12-03,accumulatedNectarFlowers,Accumulated Nectar Flowers,The total number of flowers which the accumulated nectar measurements were made,The flowers should be prevented from visitation (not exposed to floral visitors) during all their logenvity,"`4`, `23`",http://rs.rebipp.org.br/ppi/terms/NectarDynamics,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/accumulatedNectarFlowers,simple
